path,label,fold,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt,source_row
FER2013Train/fer0000001.png,0,0,6,0,1,1,0,0,0,0,1
FER2013Train/fer0000002.png,0,0,5,0,0,3,1,0,0,0,2
FER2013Train/fer0000004.png,0,0,9,0,0,1,0,0,0,0,4
FER2013Train/fer0000005.png,0,0,6,0,0,1,0,0,1,1,5
FER2013Train/fer0000006.png,3,0,2,0,0,8,0,0,0,0,6
FER2013Train/fer0000007.png,1,0,0,10,0,0,0,0,0,0,7
FER2013Train/fer0000008.png,1,0,0,10,0,0,0,0,0,0,8
FER2013Train/fer0000009.png,2,0,0,0,6,0,0,0,4,0,9
FER2013Train/fer0000010.png,4,0,2,0,0,0,8,0,0,0,10
FER2013Train/fer0000011.png,0,0,10,0,0,0,0,0,0,0,11
FER2013Train/fer0000013.png,0,0,9,0,0,1,0,0,0,0,13
FER2013Train/fer0000014.png,1,0,0,10,0,0,0,0,0,0,14
FER2013Train/fer0000015.png,2,0,0,0,6,0,1,0,3,0,15
FER2013Train/fer0000016.png,1,0,4,6,0,0,0,0,0,0,16
FER2013Train/fer0000019.png,0,0,6,1,0,0,3,0,0,0,19
FER2013Train/fer0000020.png,0,0,5,0,0,4,0,0,0,0,20
FER2013Train/fer0000021.png,6,0,1,0,1,2,0,0,5,0,21
FER2013Train/fer0000022.png,4,0,1,0,1,1,7,0,0,0,22
FER2013Train/fer0000024.png,1,0,2,7,0,0,0,0,0,1,24
FER2013Train/fer0000025.png,1,0,0,10,0,0,0,0,0,0,25
FER2013Train/fer0000027.png,4,0,0,0,0,0,7,1,0,0,27
FER2013Train/fer0000028.png,1,0,1,7,0,0,0,2,0,0,28
FER2013Train/fer0000029.png,2,0,0,1,6,0,0,0,3,0,29
FER2013Train/fer0000030.png,1,0,0,9,0,0,0,1,0,0,30
FER2013Train/fer0000031.png,0,0,10,0,0,0,0,0,0,0,31
FER2013Train/fer0000032.png,1,0,0,9,0,0,0,0,0,0,32
FER2013Train/fer0000033.png,0,0,10,0,0,0,0,0,0,0,33
FER2013Train/fer0000034.png,1,0,0,10,0,0,0,0,0,0,34
FER2013Train/fer0000035.png,0,0,9,0,0,0,0,0,0,1,35
FER2013Train/fer0000036.png,0,0,8,0,0,0,0,0,0,1,36
FER2013Train/fer0000037.png,0,0,10,0,0,0,0,0,0,0,37
FER2013Train/fer0000038.png,4,0,1,0,1,0,8,0,0,0,38
FER2013Train/fer0000039.png,1,0,1,8,1,0,0,0,0,0,39
FER2013Train/fer0000040.png,3,0,2,0,0,5,1,1,0,1,40
FER2013Train/fer0000041.png,1,0,3,7,0,0,0,0,0,0,41
FER2013Train/fer0000042.png,3,0,4,0,0,5,0,0,0,0,42
FER2013Train/fer0000043.png,4,0,0,0,0,0,8,0,0,0,43
FER2013Train/fer0000044.png,0,0,7,0,0,3,0,0,0,0,44
FER2013Train/fer0000045.png,2,0,1,0,6,0,0,0,1,0,45
FER2013Train/fer0000046.png,1,0,0,10,0,0,0,0,0,0,46
FER2013Train/fer0000047.png,0,0,10,0,0,0,0,0,0,0,47
FER2013Train/fer0000048.png,0,0,6,0,0,3,0,0,0,0,48
FER2013Train/fer0000049.png,3,0,2,0,0,8,0,0,0,0,49
FER2013Train/fer0000050.png,0,0,7,0,0,2,1,0,0,0,50
FER2013Train/fer0000051.png,6,0,1,0,3,1,0,0,5,0,51
FER2013Train/fer0000053.png,0,0,9,1,0,0,0,0,0,0,53
FER2013Train/fer0000054.png,3,0,0,0,0,10,0,0,0,0,54
FER2013Train/fer0000055.png,2,0,1,3,6,0,0,0,0,0,55
FER2013Train/fer0000056.png,0,0,6,0,0,0,1,0,1,1,56
FER2013Train/fer0000057.png,1,0,1,9,0,0,0,0,0,0,57
FER2013Train/fer0000058.png,0,0,8,0,0,2,0,0,0,0,58
FER2013Train/fer0000059.png,0,0,8,0,2,0,0,0,0,0,60
FER2013Train/fer0000060.png,2,0,0,0,9,0,0,0,1,0,61
FER2013Train/fer0000061.png,1,0,1,9,0,0,0,0,0,0,62
FER2013Train/fer0000062.png,3,0,0,0,0,9,0,0,0,0,63
FER2013Train/fer0000063.png,1,0,0,7,3,0,0,0,0,0,64
FER2013Train/fer0000064.png,0,0,9,1,0,0,0,0,0,0,65
FER2013Train/fer0000065.png,0,0,6,4,0,0,0,0,0,0,66
FER2013Train/fer0000066.png,1,0,0,10,0,0,0,0,0,0,67
FER2013Train/fer0000067.png,4,0,1,0,1,0,7,0,0,0,68
FER2013Train/fer0000068.png,0,0,5,0,0,1,1,0,1,0,69
FER2013Train/fer0000069.png,3,0,4,0,0,6,0,0,0,0,70
FER2013Train/fer0000071.png,3,0,3,0,1,5,0,0,0,0,72
FER2013Train/fer0000074.png,0,0,7,0,0,0,0,0,0,2,75
FER2013Train/fer0000075.png,4,0,0,0,0,0,10,0,0,0,76
FER2013Train/fer0000076.png,0,0,6,0,0,2,1,1,0,0,77
FER2013Train/fer0000077.png,2,0,0,0,8,0,0,0,2,0,78
FER2013Train/fer0000078.png,0,0,6,0,0,0,3,0,0,0,79
FER2013Train/fer0000079.png,1,0,0,10,0,0,0,0,0,0,80
FER2013Train/fer0000080.png,2,0,2,0,8,0,0,0,0,0,81
FER2013Train/fer0000081.png,1,0,0,10,0,0,0,0,0,0,82
FER2013Train/fer0000082.png,0,0,5,0,1,0,0,0,0,0,83
FER2013Train/fer0000083.png,3,0,4,0,0,6,0,0,0,0,84
FER2013Train/fer0000084.png,0,0,10,0,0,0,0,0,0,0,85
FER2013Train/fer0000087.png,2,0,0,2,6,0,0,0,0,0,88
FER2013Train/fer0000088.png,0,0,5,0,0,2,1,0,0,1,89
FER2013Train/fer0000089.png,1,0,4,5,0,0,1,0,0,0,90
FER2013Train/fer0000090.png,0,0,5,0,0,0,4,0,0,0,91
FER2013Train/fer0000092.png,1,0,0,7,0,0,2,0,0,1,93
FER2013Train/fer0000093.png,0,0,9,0,0,1,0,0,0,0,94
FER2013Train/fer0000094.png,0,0,6,0,0,2,0,0,2,0,95
FER2013Train/fer0000095.png,6,0,0,0,2,0,0,0,8,0,96
FER2013Train/fer0000096.png,1,0,0,8,1,0,0,0,0,0,97
FER2013Train/fer0000097.png,0,0,8,0,0,2,0,0,0,0,98
FER2013Train/fer0000098.png,1,0,0,10,0,0,0,0,0,0,99
FER2013Train/fer0000099.png,1,0,1,9,0,0,0,0,0,0,100
FER2013Train/fer0000101.png,0,0,7,1,0,1,0,0,0,0,102
FER2013Train/fer0000102.png,1,0,0,9,0,0,0,1,0,0,103
FER2013Train/fer0000103.png,0,0,7,0,1,1,1,0,0,0,104
FER2013Train/fer0000104.png,1,0,0,10,0,0,0,0,0,0,105
FER2013Train/fer0000105.png,0,0,8,0,0,1,0,0,0,0,106
FER2013Train/fer0000106.png,4,0,0,0,4,0,6,0,0,0,107
FER2013Train/fer0000107.png,2,0,1,0,8,0,0,0,1,0,108
FER2013Train/fer0000108.png,1,0,1,9,0,0,0,0,0,0,109
FER2013Train/fer0000109.png,3,0,0,1,0,9,0,0,0,0,110
FER2013Train/fer0000110.png,1,0,2,7,1,0,0,0,0,0,111
FER2013Train/fer0000111.png,0,0,9,0,0,1,0,0,0,0,112
FER2013Train/fer0000113.png,0,0,10,0,0,0,0,0,0,0,114
FER2013Train/fer0000114.png,3,0,2,0,0,8,0,0,0,0,115
FER2013Train/fer0000115.png,0,0,7,0,0,0,1,0,0,0,116
