path,label,fold
train/anger/Training_10126156.jpg,4,0
train/anger/Training_10127474.jpg,4,0
train/anger/Training_10239785.jpg,4,0
train/anger/Training_10246389.jpg,4,0
train/anger/Training_10274140.jpg,4,0
train/anger/Training_10316849.jpg,4,0
train/anger/Training_10353847.jpg,4,0
train/anger/Training_10437958.jpg,4,0
train/anger/Training_10449200.jpg,4,0
train/anger/Training_1047709.jpg,4,0
train/anger/Training_10510421.jpg,4,0
train/anger/Training_1055316.jpg,4,0
train/anger/Training_10556356.jpg,4,0
train/anger/Training_10561429.jpg,4,0
train/anger/Training_10642717.jpg,4,0
train/anger/Training_10650422.jpg,4,0
train/anger/Training_10662291.jpg,4,0
train/anger/Training_10662933.jpg,4,0
train/anger/Training_1068344.jpg,4,0
train/anger/Training_10740356.jpg,4,0
train/anger/Training_10914115.jpg,4,0
train/anger/Training_10922970.jpg,4,0
train/anger/Training_10974025.jpg,4,0
train/anger/Training_11031032.jpg,4,0
train/anger/Training_11169774.jpg,4,0
train/anger/Training_11190808.jpg,4,0
train/anger/Training_11205172.jpg,4,0
train/anger/Training_11223609.jpg,4,0
train/anger/Training_11240343.jpg,4,0
train/anger/Training_11262281.jpg,4,0
train/anger/Training_11319077.jpg,4,0
train/anger/Training_1142887.jpg,4,0
train/anger/Training_11608054.jpg,4,0
train/anger/Training_11665151.jpg,4,0
train/anger/Training_11698867.jpg,4,0
train/anger/Training_11747129.jpg,4,0
train/anger/Training_11758620.jpg,4,0
train/anger/Training_11764291.jpg,4,0
train/anger/Training_11766315.jpg,4,0
train/anger/Training_11771361.jpg,4,0
train/anger/Training_11810245.jpg,4,0
train/anger/Training_11815662.jpg,4,0
train/anger/Training_11854051.jpg,4,0
train/anger/Training_11860503.jpg,4,0
train/anger/Training_11866968.jpg,4,0
train/anger/Training_11911991.jpg,4,0
train/anger/Training_11948726.jpg,4,0
train/anger/Training_11956135.jpg,4,0
train/anger/Training_11977629.jpg,4,0
train/anger/Training_11990539.jpg,4,0
train/anger/Training_12021437.jpg,4,0
train/anger/Training_12042390.jpg,4,0
train/anger/Training_12158244.jpg,4,0
train/anger/Training_12167063.jpg,4,0
train/anger/Training_12176478.jpg,4,0
train/anger/Training_12198049.jpg,4,0
train/anger/Training_12237379.jpg,4,0
train/anger/Training_12291091.jpg,4,0
train/anger/Training_12375272.jpg,4,0
train/anger/Training_12437406.jpg,4,0
train/anger/Training_12592570.jpg,4,0
train/anger/Training_12614811.jpg,4,0
train/anger/Training_12651558.jpg,4,0
train/anger/Training_12775696.jpg,4,0
train/anger/Training_1278231.jpg,4,0
train/anger/Training_12807736.jpg,4,0
train/anger/Training_12815902.jpg,4,0
train/anger/Training_12818176.jpg,4,0
train/anger/Training_12858675.jpg,4,0
train/anger/Training_12861361.jpg,4,0
train/anger/Training_13040296.jpg,4,0
train/anger/Training_13072904.jpg,4,0
train/anger/Training_13081843.jpg,4,0
train/anger/Training_13166352.jpg,4,0
train/anger/Training_13290427.jpg,4,0
train/anger/Training_13414103.jpg,4,0
train/anger/Training_13468440.jpg,4,0
train/anger/Training_13488691.jpg,4,0
train/anger/Training_13505693.jpg,4,0
train/anger/Training_13507284.jpg,4,0
train/anger/Training_13526687.jpg,4,0
train/anger/Training_13533383.jpg,4,0
train/anger/Training_13570729.jpg,4,0
train/anger/Training_13576592.jpg,4,0
train/anger/Training_13611558.jpg,4,0
train/anger/Training_1361521.jpg,4,0
train/anger/Training_13653982.jpg,4,0
train/anger/Training_13685639.jpg,4,0
train/anger/Training_1369050.jpg,4,0
train/anger/Training_13695351.jpg,4,0
train/anger/Training_13742442.jpg,4,0
train/anger/Training_13751709.jpg,4,0
train/anger/Training_13756349.jpg,4,0
train/anger/Training_13829541.jpg,4,0
train/anger/Training_13881039.jpg,4,0
train/anger/Training_13976691.jpg,4,0
train/anger/Training_13988860.jpg,4,0
train/anger/Training_14054767.jpg,4,0
train/anger/Training_1409503.jpg,4,0
train/anger/Training_14151520.jpg,4,0
train/anger/Training_14163500.jpg,4,0
train/anger/Training_1420017.jpg,4,0
train/anger/Training_14320317.jpg,4,0
train/anger/Training_14330963.jpg,4,0
train/anger/Training_14341072.jpg,4,0
train/anger/Training_14439189.jpg,4,0
train/anger/Training_14489599.jpg,4,0
train/anger/Training_14532305.jpg,4,0
train/anger/Training_14552155.jpg,4,0
train/anger/Training_14609569.jpg,4,0
train/anger/Training_14641612.jpg,4,0
train/anger/Training_14642114.jpg,4,0
train/anger/Training_14642235.jpg,4,0
train/anger/Training_14659991.jpg,4,0
train/anger/Training_14687754.jpg,4,0
train/anger/Training_14748547.jpg,4,0
train/anger/Training_14829359.jpg,4,0
train/anger/Training_14837097.jpg,4,0
