path,label,fold,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt
FER2013Train/fer0000000.png,0,0,0.4,0.0,0.0,0.1,0.3,0.2,0.0,0.0
FER2013Train/fer0000001.png,0,0,0.75,0.0,0.125,0.125,0.0,0.0,0.0,0.0
FER2013Train/fer0000002.png,0,0,0.5555555555555556,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0
FER2013Train/fer0000003.png,0,0,0.4444444444444444,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0
FER2013Train/fer0000004.png,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0
FER2013Train/fer0000005.png,0,0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
FER2013Train/fer0000006.png,3,0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0
FER2013Train/fer0000007.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000008.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000009.png,2,0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0
FER2013Train/fer0000010.png,4,0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0
FER2013Train/fer0000011.png,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000012.png,0,0,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.0
FER2013Train/fer0000013.png,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0
FER2013Train/fer0000014.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000015.png,2,0,0.0,0.0,0.6,0.0,0.1,0.0,0.3,0.0
FER2013Train/fer0000016.png,1,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000018.png,3,0,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0
FER2013Train/fer0000019.png,0,0,0.6,0.1,0.0,0.0,0.3,0.0,0.0,0.0
FER2013Train/fer0000020.png,0,0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
FER2013Train/fer0000021.png,6,0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.5555555555555556,0.0
FER2013Train/fer0000022.png,4,0,0.1,0.0,0.1,0.1,0.7,0.0,0.0,0.0
FER2013Train/fer0000024.png,1,0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.1
FER2013Train/fer0000025.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000026.png,0,0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000027.png,4,0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0
FER2013Train/fer0000028.png,1,0,0.1,0.7,0.0,0.0,0.0,0.2,0.0,0.0
FER2013Train/fer0000029.png,2,0,0.0,0.1,0.6,0.0,0.0,0.0,0.3,0.0
FER2013Train/fer0000030.png,1,0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0
FER2013Train/fer0000031.png,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000032.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000033.png,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000034.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000035.png,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1
FER2013Train/fer0000036.png,0,0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
FER2013Train/fer0000037.png,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000038.png,4,0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0.0
FER2013Train/fer0000039.png,1,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000040.png,3,0,0.2,0.0,0.0,0.5,0.1,0.1,0.0,0.1
FER2013Train/fer0000041.png,1,0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000042.png,3,0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0
FER2013Train/fer0000043.png,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FER2013Train/fer0000044.png,0,0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0
FER2013Train/fer0000045.png,2,0,0.125,0.0,0.75,0.0,0.0,0.0,0.125,0.0
FER2013Train/fer0000046.png,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000047.png,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000048.png,0,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
FER2013Train/fer0000049.png,3,0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0
FER2013Train/fer0000050.png,0,0,0.7,0.0,0.0,0.2,0.1,0.0,0.0,0.0
FER2013Train/fer0000051.png,6,0,0.1,0.0,0.3,0.1,0.0,0.0,0.5,0.0
FER2013Train/fer0000052.png,2,0,0.2,0.2,0.3,0.1,0.0,0.1,0.1,0.0
FER2013Train/fer0000053.png,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000054.png,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000055.png,2,0,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000056.png,0,0,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
FER2013Train/fer0000057.png,1,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0
FER2013Train/fer0000058.png,0,0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0
FER2013Train/fer0000059.png,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
